BVP,time,values
E4_Bvp,"1641384899,76748","-33,44142"
E4_Bvp,"1641384899,78311","-36,60922"
E4_Bvp,"1641384899,79873","-36,78706"
E4_Bvp,"1641384899,81436","-33,59087"
E4_Bvp,"1641384899,82999","-27,28098"
E4_Bvp,"1641384899,84561","-18,82284"
E4_Bvp,"1641384899,86124","-9,456068"
E4_Bvp,"1641384899,87686","-0,4400768"
E4_Bvp,"1641384899,89249","7,281595"
E4_Bvp,"1641384899,90811","13,29438"
E4_Bvp,"1641384899,92374","17,52678"
E4_Bvp,"1641384899,93937","20,2139"
E4_Bvp,"1641384899,95499","21,56564"
E4_Bvp,"1641384899,97062","21,61891"
E4_Bvp,"1641384899,98624","20,40708"
E4_Bvp,"1641384900,00187","18,09378"
E4_Bvp,"1641384900,01749","15,20666"
E4_Bvp,"1641384900,03312","12,48739"
E4_Bvp,"1641384900,04875","10,59952"
E4_Bvp,"1641384900,06437","9,777767"
E4_Bvp,"1641384900,08","9,694399"
E4_Bvp,"1641384900,09562","9,692547"
E4_Bvp,"1641384900,11125","9,137119"
E4_Bvp,"1641384900,12687","7,80051"
E4_Bvp,"1641384900,1425","5,941779"
E4_Bvp,"1641384900,15813","4,054512"
E4_Bvp,"1641384900,17375","2,510201"
E4_Bvp,"1641384900,18938","1,269383"
E4_Bvp,"1641384900,205","-0,1517439"
E4_Bvp,"1641384900,22063","-2,429458"
E4_Bvp,"1641384900,23625","-6,100811"
E4_Bvp,"1641384900,25188","-11,29506"
E4_Bvp,"1641384900,26751","-17,60758"
E4_Bvp,"1641384900,28313","-24,18288"
E4_Bvp,"1641384900,29876","-29,88813"
E4_Bvp,"1641384900,31438","-33,56007"
E4_Bvp,"1641384900,33001","-34,25271"
E4_Bvp,"1641384900,34564","-31,6256"
E4_Bvp,"1641384900,36126","-25,97246"
E4_Bvp,"1641384900,37689","-18,15494"
E4_Bvp,"1641384900,39251","-9,360812"
E4_Bvp,"1641384900,40814","-0,6441092"
E4_Bvp,"1641384900,42376","7,17536"
E4_Bvp,"1641384900,43939","13,70095"
E4_Bvp,"1641384900,45502","18,79047"
E4_Bvp,"1641384900,47064","22,45327"
E4_Bvp,"1641384900,48627","24,76538"
E4_Bvp,"1641384900,50189","25,85018"
E4_Bvp,"1641384900,51752","25,93684"
E4_Bvp,"1641384900,53314","25,33328"
E4_Bvp,"1641384900,54877","24,3972"
E4_Bvp,"1641384900,5644","23,42421"
E4_Bvp,"1641384900,58002","22,60576"
E4_Bvp,"1641384900,59565","21,98803"
E4_Bvp,"1641384900,61127","21,4844"
E4_Bvp,"1641384900,6269","20,91097"
E4_Bvp,"1641384900,64252","20,04774"
E4_Bvp,"1641384900,65815","18,70427"
E4_Bvp,"1641384900,67378","16,83848"
E4_Bvp,"1641384900,6894","14,53638"
E4_Bvp,"1641384900,70503","12,01466"
E4_Bvp,"1641384900,72065","9,448318"
E4_Bvp,"1641384900,73628","6,905869"
E4_Bvp,"1641384900,7519","4,2545"
E4_Bvp,"1641384900,76753","1,150021"
E4_Bvp,"1641384900,78316","-2,797296"
E4_Bvp,"1641384900,79878","-7,860579"
E4_Bvp,"1641384900,81441","-13,95195"
E4_Bvp,"1641384900,83003","-20,53471"
E4_Bvp,"1641384900,84566","-26,65649"
E4_Bvp,"1641384900,86128","-31,2026"
E4_Bvp,"1641384900,87691","-33,22173"
E4_Bvp,"1641384900,89254","-32,18967"
E4_Bvp,"1641384900,90816","-28,19731"
E4_Bvp,"1641384900,92379","-21,90756"
E4_Bvp,"1641384900,93941","-14,32706"
E4_Bvp,"1641384900,95504","-6,556183"
E4_Bvp,"1641384900,97066","0,5873499"
E4_Bvp,"1641384900,98629","6,637596"
E4_Bvp,"1641384901,00192","11,42715"
E4_Bvp,"1641384901,01754","14,94618"
E4_Bvp,"1641384901,03317","17,15688"
E4_Bvp,"1641384901,04879","18,02854"
E4_Bvp,"1641384901,06442","17,64266"
E4_Bvp,"1641384901,08004","16,28778"
E4_Bvp,"1641384901,09567","14,45917"
E4_Bvp,"1641384901,1113","12,70695"
E4_Bvp,"1641384901,12692","11,52297"
E4_Bvp,"1641384901,14255","11,13711"
E4_Bvp,"1641384901,15817","11,49131"
E4_Bvp,"1641384901,1738","12,28262"
E4_Bvp,"1641384901,18942","13,04108"
E4_Bvp,"1641384901,20505","13,37475"
E4_Bvp,"1641384901,22068","13,03529"
E4_Bvp,"1641384901,2363","11,98668"
E4_Bvp,"1641384901,25193","10,37452"
E4_Bvp,"1641384901,26755","8,382416"
E4_Bvp,"1641384901,28318","6,212907"
E4_Bvp,"1641384901,2988","3,966588"
E4_Bvp,"1641384901,31443","1,609098"
E4_Bvp,"1641384901,33006","-1,016781"
E4_Bvp,"1641384901,34568","-4,193295"
E4_Bvp,"1641384901,36131","-8,142793"
E4_Bvp,"1641384901,37693","-12,90842"
E4_Bvp,"1641384901,39256","-18,19662"
E4_Bvp,"1641384901,40818","-23,31444"
E4_Bvp,"1641384901,42381","-27,30166"
E4_Bvp,"1641384901,43944","-29,15888"
E4_Bvp,"1641384901,45506","-28,17359"
E4_Bvp,"1641384901,47069","-24,24129"
E4_Bvp,"1641384901,48631","-17,88239"
E4_Bvp,"1641384901,50194","-10,15693"
E4_Bvp,"1641384901,51756","-2,220824"
E4_Bvp,"1641384901,53319","4,988754"
E4_Bvp,"1641384901,54882","10,92267"
E4_Bvp,"1641384901,56444","15,43128"
E4_Bvp,"1641384901,58007","18,51428"
E4_Bvp,"1641384901,59569","20,26884"
E4_Bvp,"1641384901,61132","20,77058"
E4_Bvp,"1641384901,62694","20,15474"
E4_Bvp,"1641384901,64257","18,67099"
E4_Bvp,"1641384901,6582","16,72245"
E4_Bvp,"1641384901,67382","14,80831"
E4_Bvp,"1641384901,68945","13,36021"
E4_Bvp,"1641384901,70507","12,58501"
E4_Bvp,"1641384901,7207","12,40317"
E4_Bvp,"1641384901,73632","12,4281"
E4_Bvp,"1641384901,75195","12,21687"
E4_Bvp,"1641384901,76758","11,40706"
E4_Bvp,"1641384901,7832","9,857528"
E4_Bvp,"1641384901,79883","7,78254"
E4_Bvp,"1641384901,81445","5,467896"
E4_Bvp,"1641384901,83008","3,250154"
E4_Bvp,"1641384901,8457","1,153607"
E4_Bvp,"1641384901,86133","-1,138915"
E4_Bvp,"1641384901,87696","-4,101088"
E4_Bvp,"1641384901,89258","-8,177953"
E4_Bvp,"1641384901,90821","-13,45415"
E4_Bvp,"1641384901,92383","-19,6442"
E4_Bvp,"1641384901,93946","-26,20645"
E4_Bvp,"1641384901,95508","-32,41364"
E4_Bvp,"1641384901,97071","-37,48898"
E4_Bvp,"1641384901,98634","-40,61561"
E4_Bvp,"1641384902,00196","-41,09026"
E4_Bvp,"1641384902,01759","-38,52731"
E4_Bvp,"1641384902,03321","-33,08263"
E4_Bvp,"1641384902,04884","-25,48301"
E4_Bvp,"1641384902,06446","-16,85383"
E4_Bvp,"1641384902,08009","-8,348108"
E4_Bvp,"1641384902,09572","-0,8112535"
E4_Bvp,"1641384902,11134","5,410248"
E4_Bvp,"1641384902,12697","10,33944"
E4_Bvp,"1641384902,14259","14,1535"
E4_Bvp,"1641384902,15822","16,9288"
E4_Bvp,"1641384902,17384","18,61311"
E4_Bvp,"1641384902,18947","19,17264"
E4_Bvp,"1641384902,2051","18,76059"
E4_Bvp,"1641384902,22072","17,80682"
E4_Bvp,"1641384902,23635","16,83306"
E4_Bvp,"1641384902,25197","16,27031"
E4_Bvp,"1641384902,2676","16,26561"
E4_Bvp,"1641384902,28322","16,60058"
E4_Bvp,"1641384902,29885","16,90563"
E4_Bvp,"1641384902,31448","16,69333"
E4_Bvp,"1641384902,3301","15,69436"
E4_Bvp,"1641384902,34573","13,91667"
E4_Bvp,"1641384902,36135","11,62733"
E4_Bvp,"1641384902,37698","9,253807"
E4_Bvp,"1641384902,3926","7,090438"
E4_Bvp,"1641384902,40823","5,197784"
E4_Bvp,"1641384902,42386","3,321702"
E4_Bvp,"1641384902,43948","1,04706"
E4_Bvp,"1641384902,45511","-2,039608"
E4_Bvp,"1641384902,47073","-6,144369"
E4_Bvp,"1641384902,48636","-11,14538"
