BVP,time,values
E4_Bvp,"1647608889,24606","18,29733"
E4_Bvp,"1647608889,26169","16,79843"
E4_Bvp,"1647608889,27732","15,0056"
E4_Bvp,"1647608889,29294","13,12056"
E4_Bvp,"1647608889,30857","11,36993"
E4_Bvp,"1647608889,32419","9,86705"
E4_Bvp,"1647608889,33982","8,601837"
E4_Bvp,"1647608889,35544","7,451202"
E4_Bvp,"1647608889,37107","6,207581"
E4_Bvp,"1647608889,3867","4,698212"
E4_Bvp,"1647608889,40232","2,774887"
E4_Bvp,"1647608889,41795","0,3890381"
E4_Bvp,"1647608889,43357","-2,421021"
E4_Bvp,"1647608889,4492","-5,494003"
E4_Bvp,"1647608889,46482","-8,609299"
E4_Bvp,"1647608889,48045","-11,53183"
E4_Bvp,"1647608889,49608","-14,10609"
E4_Bvp,"1647608889,5117","-16,26248"
E4_Bvp,"1647608889,52733","-18,0611"
E4_Bvp,"1647608889,54295","-19,62315"
E4_Bvp,"1647608889,55858","-21,1058"
E4_Bvp,"1647608889,57421","-22,67764"
E4_Bvp,"1647608889,58983","-24,44029"
E4_Bvp,"1647608889,60546","-26,48581"
E4_Bvp,"1647608889,62108","-28,69872"
E4_Bvp,"1647608889,63671","-30,70839"
E4_Bvp,"1647608889,65233","-31,88254"
E4_Bvp,"1647608889,66796","-31,42102"
E4_Bvp,"1647608889,68359","-28,67856"
E4_Bvp,"1647608889,69921","-23,41235"
E4_Bvp,"1647608889,71484","-16,07703"
E4_Bvp,"1647608889,73046","-7,677155"
E4_Bvp,"1647608889,74609","0,4761658"
E4_Bvp,"1647608889,76171","7,29657"
E4_Bvp,"1647608889,77734","12,26202"
E4_Bvp,"1647608889,79297","15,41922"
E4_Bvp,"1647608889,80859","17,29739"
E4_Bvp,"1647608889,82422","18,41971"
E4_Bvp,"1647608889,83984","19,06332"
E4_Bvp,"1647608889,85547","19,15048"
E4_Bvp,"1647608889,87109","18,42215"
E4_Bvp,"1647608889,88672","16,70297"
E4_Bvp,"1647608889,90235","14,13644"
E4_Bvp,"1647608889,91797","11,23181"
