ST,time,values
E4_Temperature,"1646468304,27219","31,63"
E4_Temperature,"1646468304,5222","31,63"
E4_Temperature,"1646468304,77221","31,63"
E4_Temperature,"1646468305,02223","31,63"
E4_Temperature,"1646468305,27224","31,65"
E4_Temperature,"1646468305,52225","31,65"
E4_Temperature,"1646468305,77226","31,65"
E4_Temperature,"1646468306,02227","31,65"
E4_Temperature,"1646468306,27228","31,63"
E4_Temperature,"1646468306,52229","31,63"
E4_Temperature,"1646468306,77231","31,63"
E4_Temperature,"1646468307,02232","31,63"
E4_Temperature,"1646468307,27233","31,65"
E4_Temperature,"1646468307,52234","31,65"
E4_Temperature,"1646468307,77235","31,65"
E4_Temperature,"1646468308,02236","31,65"
E4_Temperature,"1646468308,27238","31,63"
E4_Temperature,"1646468308,52239","31,63"
E4_Temperature,"1646468308,7724","31,63"
E4_Temperature,"1646468309,02241","31,63"
E4_Temperature,"1646468309,27242","31,63"
E4_Temperature,"1646468309,52243","31,63"
E4_Temperature,"1646468309,77245","31,63"
E4_Temperature,"1646468310,02246","31,63"
E4_Temperature,"1646468310,27247","31,65"
E4_Temperature,"1646468310,52248","31,65"
E4_Temperature,"1646468310,77249","31,65"
E4_Temperature,"1646468311,0225","31,65"
E4_Temperature,"1646468311,27251","31,63"
E4_Temperature,"1646468311,52253","31,63"
E4_Temperature,"1646468311,77254","31,63"
E4_Temperature,"1646468312,02255","31,63"
E4_Temperature,"1646468312,27256","31,59"
E4_Temperature,"1646468312,52257","31,59"
E4_Temperature,"1646468312,77258","31,59"
E4_Temperature,"1646468313,0226","31,59"
E4_Temperature,"1646468313,27261","31,63"
E4_Temperature,"1646468313,52262","31,63"
E4_Temperature,"1646468313,77263","31,63"
E4_Temperature,"1646468314,02264","31,63"
E4_Temperature,"1646468314,27265","31,63"
E4_Temperature,"1646468314,52267","31,63"
E4_Temperature,"1646468314,77268","31,63"
E4_Temperature,"1646468315,02269","31,63"
E4_Temperature,"1646468315,2727","31,63"
E4_Temperature,"1646468315,52271","31,63"
E4_Temperature,"1646468315,77272","31,63"
E4_Temperature,"1646468316,02273","31,63"
E4_Temperature,"1646468316,27275","31,63"
E4_Temperature,"1646468316,52276","31,63"
E4_Temperature,"1646468316,77277","31,63"
E4_Temperature,"1646468317,02278","31,63"
E4_Temperature,"1646468317,27279","31,63"
E4_Temperature,"1646468317,5228","31,63"
E4_Temperature,"1646468317,77282","31,63"
E4_Temperature,"1646468318,02283","31,63"
E4_Temperature,"1646468318,27284","31,61"
E4_Temperature,"1646468318,52285","31,61"
E4_Temperature,"1646468318,77286","31,61"
E4_Temperature,"1646468319,02287","31,61"
E4_Temperature,"1646468319,27289","31,61"
E4_Temperature,"1646468319,5229","31,61"
E4_Temperature,"1646468319,77291","31,61"
E4_Temperature,"1646468320,02292","31,61"
E4_Temperature,"1646468320,27293","31,61"
E4_Temperature,"1646468320,52294","31,61"
E4_Temperature,"1646468320,77295","31,61"
E4_Temperature,"1646468321,02297","31,61"
E4_Temperature,"1646468321,27298","31,61"
E4_Temperature,"1646468321,52299","31,61"
E4_Temperature,"1646468321,773","31,61"
E4_Temperature,"1646468322,02301","31,61"
E4_Temperature,"1646468322,27302","31,59"
E4_Temperature,"1646468322,52304","31,59"
E4_Temperature,"1646468322,77305","31,59"
E4_Temperature,"1646468323,02306","31,59"
E4_Temperature,"1646468323,27307","31,61"
E4_Temperature,"1646468323,52308","31,61"
E4_Temperature,"1646468323,77309","31,61"
E4_Temperature,"1646468324,02311","31,61"
E4_Temperature,"1646468324,27312","31,63"
E4_Temperature,"1646468324,52313","31,63"
E4_Temperature,"1646468324,77314","31,63"
E4_Temperature,"1646468325,02315","31,63"
E4_Temperature,"1646468325,27316","31,63"
E4_Temperature,"1646468325,52317","31,63"
E4_Temperature,"1646468325,77319","31,63"
E4_Temperature,"1646468326,0232","31,63"
E4_Temperature,"1646468326,27321","31,61"
E4_Temperature,"1646468326,52322","31,61"
E4_Temperature,"1646468326,77323","31,61"
E4_Temperature,"1646468327,02324","31,61"
E4_Temperature,"1646468327,27326","31,59"
E4_Temperature,"1646468327,52327","31,59"
E4_Temperature,"1646468327,77328","31,59"
E4_Temperature,"1646468328,02329","31,59"
E4_Temperature,"1646468328,2733","31,61"
E4_Temperature,"1646468328,52331","31,61"
E4_Temperature,"1646468328,77332","31,61"
E4_Temperature,"1646468329,02334","31,61"
E4_Temperature,"1646468329,27335","31,59"
E4_Temperature,"1646468329,52336","31,59"
E4_Temperature,"1646468329,77337","31,59"
E4_Temperature,"1646468330,02338","31,59"
E4_Temperature,"1646468330,27339","31,59"
E4_Temperature,"1646468330,52341","31,59"
E4_Temperature,"1646468330,77342","31,59"
E4_Temperature,"1646468331,02343","31,59"
E4_Temperature,"1646468331,27344","31,61"
E4_Temperature,"1646468331,52345","31,61"
E4_Temperature,"1646468331,77346","31,61"
E4_Temperature,"1646468332,02348","31,61"
E4_Temperature,"1646468332,27349","31,61"
E4_Temperature,"1646468332,5235","31,61"
E4_Temperature,"1646468332,77351","31,61"
E4_Temperature,"1646468333,02352","31,61"
E4_Temperature,"1646468333,27353","31,59"
E4_Temperature,"1646468333,52355","31,59"
E4_Temperature,"1646468333,77356","31,59"
E4_Temperature,"1646468334,02357","31,59"
E4_Temperature,"1646468334,27358","31,61"
E4_Temperature,"1646468334,52359","31,61"
E4_Temperature,"1646468334,7736","31,61"
E4_Temperature,"1646468335,02361","31,61"
E4_Temperature,"1646468335,27363","31,61"
E4_Temperature,"1646468335,52364","31,61"
E4_Temperature,"1646468335,77365","31,61"
E4_Temperature,"1646468336,02366","31,61"
E4_Temperature,"1646468336,27367","31,61"
E4_Temperature,"1646468336,52368","31,61"
E4_Temperature,"1646468336,7737","31,61"
E4_Temperature,"1646468337,02371","31,61"
E4_Temperature,"1646468337,27372","31,59"
E4_Temperature,"1646468337,52373","31,59"
E4_Temperature,"1646468337,77374","31,59"
E4_Temperature,"1646468338,02375","31,59"
E4_Temperature,"1646468338,27376","31,59"
E4_Temperature,"1646468338,52378","31,59"
E4_Temperature,"1646468338,77379","31,59"
E4_Temperature,"1646468339,0238","31,59"
E4_Temperature,"1646468339,27381","31,59"
E4_Temperature,"1646468339,52382","31,59"
E4_Temperature,"1646468339,77383","31,59"
E4_Temperature,"1646468340,02385","31,59"
E4_Temperature,"1646468340,27386","31,59"
E4_Temperature,"1646468340,52387","31,59"
E4_Temperature,"1646468340,77388","31,59"
E4_Temperature,"1646468341,02389","31,59"
E4_Temperature,"1646468341,2739","31,59"
E4_Temperature,"1646468341,52392","31,59"
E4_Temperature,"1646468341,77393","31,59"
E4_Temperature,"1646468342,02394","31,59"
E4_Temperature,"1646468342,27395","31,57"
E4_Temperature,"1646468342,52396","31,57"
E4_Temperature,"1646468342,77397","31,57"
E4_Temperature,"1646468343,02398","31,57"
E4_Temperature,"1646468343,274","31,61"
E4_Temperature,"1646468343,52401","31,61"
E4_Temperature,"1646468343,77402","31,61"
E4_Temperature,"1646468344,02403","31,61"
E4_Temperature,"1646468344,27404","31,59"
E4_Temperature,"1646468344,52405","31,59"
E4_Temperature,"1646468344,77407","31,59"
E4_Temperature,"1646468345,02408","31,59"
E4_Temperature,"1646468345,27409","31,59"
E4_Temperature,"1646468345,5241","31,59"
E4_Temperature,"1646468345,77411","31,59"
E4_Temperature,"1646468346,02412","31,59"
E4_Temperature,"1646468346,27414","31,57"
E4_Temperature,"1646468346,52415","31,57"
E4_Temperature,"1646468346,77416","31,57"
E4_Temperature,"1646468347,02417","31,57"
E4_Temperature,"1646468347,27418","31,59"
E4_Temperature,"1646468347,52419","31,59"
E4_Temperature,"1646468347,7742","31,59"
E4_Temperature,"1646468348,02422","31,59"
E4_Temperature,"1646468348,27423","31,57"
E4_Temperature,"1646468348,52424","31,57"
E4_Temperature,"1646468348,77425","31,57"
E4_Temperature,"1646468349,02426","31,57"
E4_Temperature,"1646468349,27427","31,59"
E4_Temperature,"1646468349,52429","31,59"
E4_Temperature,"1646468349,7743","31,59"
E4_Temperature,"1646468350,02431","31,59"
E4_Temperature,"1646468350,27432","31,57"
E4_Temperature,"1646468350,52433","31,57"
E4_Temperature,"1646468350,77434","31,57"
E4_Temperature,"1646468351,02436","31,57"
E4_Temperature,"1646468351,27437","31,59"
E4_Temperature,"1646468351,52438","31,59"
E4_Temperature,"1646468351,77439","31,59"
E4_Temperature,"1646468352,0244","31,59"
E4_Temperature,"1646468352,27441","31,59"
E4_Temperature,"1646468352,52442","31,59"
E4_Temperature,"1646468352,77444","31,59"
E4_Temperature,"1646468353,02445","31,59"
E4_Temperature,"1646468353,27446","31,57"
E4_Temperature,"1646468353,52447","31,57"
E4_Temperature,"1646468353,77448","31,57"
E4_Temperature,"1646468354,02449","31,57"
E4_Temperature,"1646468354,27451","31,57"
