ST,time,values
E4_Temperature,"1647605328,46768","33,55"
E4_Temperature,"1647605328,71769","33,55"
E4_Temperature,"1647605328,96771","33,55"
E4_Temperature,"1647605329,21772","33,55"
E4_Temperature,"1647605329,46773","33,51"
E4_Temperature,"1647605329,71774","33,51"
E4_Temperature,"1647605329,96775","33,51"
E4_Temperature,"1647605330,21776","33,51"
E4_Temperature,"1647605330,46777","33,53"
E4_Temperature,"1647605330,71779","33,53"
E4_Temperature,"1647605330,9678","33,53"
E4_Temperature,"1647605331,21781","33,53"
E4_Temperature,"1647605331,46782","33,51"
E4_Temperature,"1647605331,71783","33,51"
E4_Temperature,"1647605331,96784","33,51"
E4_Temperature,"1647605332,21786","33,51"
E4_Temperature,"1647605332,46787","33,53"
E4_Temperature,"1647605332,71788","33,53"
E4_Temperature,"1647605332,96789","33,53"
E4_Temperature,"1647605333,2179","33,53"
E4_Temperature,"1647605333,46791","33,53"
E4_Temperature,"1647605333,71793","33,53"
E4_Temperature,"1647605333,96794","33,53"
E4_Temperature,"1647605334,21795","33,53"
E4_Temperature,"1647605334,46796","33,53"
E4_Temperature,"1647605334,71797","33,53"
E4_Temperature,"1647605334,96798","33,53"
E4_Temperature,"1647605335,21799","33,53"
E4_Temperature,"1647605335,46801","33,51"
E4_Temperature,"1647605335,71802","33,51"
E4_Temperature,"1647605335,96803","33,51"
E4_Temperature,"1647605336,21804","33,51"
E4_Temperature,"1647605336,46805","33,51"
E4_Temperature,"1647605336,71806","33,51"
E4_Temperature,"1647605336,96808","33,51"
E4_Temperature,"1647605337,21809","33,51"
E4_Temperature,"1647605337,4681","33,55"
E4_Temperature,"1647605337,71811","33,55"
E4_Temperature,"1647605337,96812","33,55"
E4_Temperature,"1647605338,21813","33,55"
E4_Temperature,"1647605338,46815","33,53"
E4_Temperature,"1647605338,71816","33,53"
E4_Temperature,"1647605338,96817","33,53"
E4_Temperature,"1647605339,21818","33,53"
E4_Temperature,"1647605339,46819","33,53"
E4_Temperature,"1647605339,7182","33,53"
E4_Temperature,"1647605339,96821","33,53"
E4_Temperature,"1647605340,21823","33,53"
E4_Temperature,"1647605340,46824","33,53"
E4_Temperature,"1647605340,71825","33,53"
E4_Temperature,"1647605340,96826","33,53"
E4_Temperature,"1647605341,21827","33,53"
E4_Temperature,"1647605341,46828","33,53"
E4_Temperature,"1647605341,7183","33,53"
E4_Temperature,"1647605341,96831","33,53"
E4_Temperature,"1647605342,21832","33,53"
E4_Temperature,"1647605342,46833","33,55"
E4_Temperature,"1647605342,71834","33,55"
E4_Temperature,"1647605342,96835","33,55"
E4_Temperature,"1647605343,21837","33,55"
E4_Temperature,"1647605343,46838","33,55"
E4_Temperature,"1647605343,71839","33,55"
E4_Temperature,"1647605343,9684","33,55"
E4_Temperature,"1647605344,21841","33,55"
E4_Temperature,"1647605344,46842","33,53"
E4_Temperature,"1647605344,71843","33,53"
E4_Temperature,"1647605344,96845","33,53"
E4_Temperature,"1647605345,21846","33,53"
E4_Temperature,"1647605345,46847","33,55"
E4_Temperature,"1647605345,71848","33,55"
E4_Temperature,"1647605345,96849","33,55"
E4_Temperature,"1647605346,2185","33,55"
E4_Temperature,"1647605346,46852","33,55"
E4_Temperature,"1647605346,71853","33,55"
E4_Temperature,"1647605346,96854","33,55"
E4_Temperature,"1647605347,21855","33,55"
E4_Temperature,"1647605347,46856","33,55"
E4_Temperature,"1647605347,71857","33,55"
E4_Temperature,"1647605347,96859","33,55"
E4_Temperature,"1647605348,2186","33,55"
E4_Temperature,"1647605348,46861","33,55"
E4_Temperature,"1647605348,71862","33,55"
E4_Temperature,"1647605348,96863","33,55"
E4_Temperature,"1647605349,21864","33,55"
E4_Temperature,"1647605349,46865","33,57"
E4_Temperature,"1647605349,71867","33,57"
E4_Temperature,"1647605349,96868","33,57"
E4_Temperature,"1647605350,21869","33,57"
E4_Temperature,"1647605350,4687","33,57"
E4_Temperature,"1647605350,71871","33,57"
E4_Temperature,"1647605350,96872","33,57"
E4_Temperature,"1647605351,21874","33,57"
E4_Temperature,"1647605351,46875","33,55"
E4_Temperature,"1647605351,71876","33,55"
E4_Temperature,"1647605351,96877","33,55"
E4_Temperature,"1647605352,21878","33,55"
E4_Temperature,"1647605352,46879","33,55"
E4_Temperature,"1647605352,71881","33,55"
E4_Temperature,"1647605352,96882","33,55"
E4_Temperature,"1647605353,21883","33,55"
E4_Temperature,"1647605353,46884","33,55"
E4_Temperature,"1647605353,71885","33,55"
E4_Temperature,"1647605353,96886","33,55"
E4_Temperature,"1647605354,21887","33,55"
E4_Temperature,"1647605354,46889","33,55"
E4_Temperature,"1647605354,7189","33,55"
E4_Temperature,"1647605354,96891","33,55"
E4_Temperature,"1647605355,21892","33,55"
E4_Temperature,"1647605355,46893","33,55"
E4_Temperature,"1647605355,71894","33,55"
E4_Temperature,"1647605355,96896","33,55"
E4_Temperature,"1647605356,21897","33,55"
E4_Temperature,"1647605356,46898","33,57"
E4_Temperature,"1647605356,71899","33,57"
E4_Temperature,"1647605356,969","33,57"
E4_Temperature,"1647605357,21901","33,57"
E4_Temperature,"1647605357,46902","33,55"
E4_Temperature,"1647605357,71904","33,55"
E4_Temperature,"1647605357,96905","33,55"
E4_Temperature,"1647605358,21906","33,55"
E4_Temperature,"1647605358,46907","33,57"
E4_Temperature,"1647605358,71908","33,57"
E4_Temperature,"1647605358,96909","33,57"
E4_Temperature,"1647605359,21911","33,57"
E4_Temperature,"1647605359,46912","33,55"
E4_Temperature,"1647605359,71913","33,55"
E4_Temperature,"1647605359,96914","33,55"
E4_Temperature,"1647605360,21915","33,55"
E4_Temperature,"1647605360,46916","33,55"
E4_Temperature,"1647605360,71918","33,55"
E4_Temperature,"1647605360,96919","33,55"
E4_Temperature,"1647605361,2192","33,55"
E4_Temperature,"1647605361,46921","33,57"
E4_Temperature,"1647605361,71922","33,57"
E4_Temperature,"1647605361,96923","33,57"
E4_Temperature,"1647605362,21924","33,57"
E4_Temperature,"1647605362,46926","33,59"
E4_Temperature,"1647605362,71927","33,59"
E4_Temperature,"1647605362,96928","33,59"
E4_Temperature,"1647605363,21929","33,59"
E4_Temperature,"1647605363,4693","33,57"
E4_Temperature,"1647605363,71931","33,57"
E4_Temperature,"1647605363,96933","33,57"
E4_Temperature,"1647605364,21934","33,57"
E4_Temperature,"1647605364,46935","33,59"
E4_Temperature,"1647605364,71936","33,59"
E4_Temperature,"1647605364,96937","33,59"
E4_Temperature,"1647605365,21938","33,59"
E4_Temperature,"1647605365,4694","33,59"
E4_Temperature,"1647605365,71941","33,59"
E4_Temperature,"1647605365,96942","33,59"
E4_Temperature,"1647605366,21943","33,59"
E4_Temperature,"1647605366,46944","33,57"
E4_Temperature,"1647605366,71945","33,57"
E4_Temperature,"1647605366,96946","33,57"
E4_Temperature,"1647605367,21948","33,57"
E4_Temperature,"1647605367,46949","33,57"
E4_Temperature,"1647605367,7195","33,57"
E4_Temperature,"1647605367,96951","33,57"
E4_Temperature,"1647605368,21952","33,57"
E4_Temperature,"1647605368,46953","33,59"
E4_Temperature,"1647605368,71955","33,59"
E4_Temperature,"1647605368,96956","33,59"
E4_Temperature,"1647605369,21957","33,59"
E4_Temperature,"1647605369,46958","33,57"
E4_Temperature,"1647605369,71959","33,57"
E4_Temperature,"1647605369,9696","33,57"
E4_Temperature,"1647605370,21962","33,57"
E4_Temperature,"1647605370,46963","33,59"
E4_Temperature,"1647605370,71964","33,59"
E4_Temperature,"1647605370,96965","33,59"
E4_Temperature,"1647605371,21966","33,59"
E4_Temperature,"1647605371,46967","33,57"
E4_Temperature,"1647605371,71968","33,57"
E4_Temperature,"1647605371,9697","33,57"
E4_Temperature,"1647605372,21971","33,57"
E4_Temperature,"1647605372,46972","33,59"
E4_Temperature,"1647605372,71973","33,59"
E4_Temperature,"1647605372,96974","33,59"
E4_Temperature,"1647605373,21975","33,59"
E4_Temperature,"1647605373,46977","33,59"
E4_Temperature,"1647605373,71978","33,59"
E4_Temperature,"1647605373,96979","33,59"
E4_Temperature,"1647605374,2198","33,59"
E4_Temperature,"1647605374,46981","33,59"
E4_Temperature,"1647605374,71982","33,59"
E4_Temperature,"1647605374,96984","33,59"
E4_Temperature,"1647605375,21985","33,59"
E4_Temperature,"1647605375,46986","33,59"
E4_Temperature,"1647605375,71987","33,59"
E4_Temperature,"1647605375,96988","33,59"
E4_Temperature,"1647605376,21989","33,59"
E4_Temperature,"1647605376,4699","33,59"
E4_Temperature,"1647605376,71992","33,59"
E4_Temperature,"1647605376,96993","33,59"
E4_Temperature,"1647605377,21994","33,59"
E4_Temperature,"1647605377,46995","33,59"
E4_Temperature,"1647605377,71996","33,59"
E4_Temperature,"1647605377,96997","33,59"
E4_Temperature,"1647605378,21999","33,59"
E4_Temperature,"1647605378,47","33,59"
E4_Temperature,"1647605378,72001","33,59"
E4_Temperature,"1647605378,97002","33,59"
E4_Temperature,"1647605379,22003","33,59"
E4_Temperature,"1647605379,47004","33,59"
E4_Temperature,"1647605379,72006","33,59"
E4_Temperature,"1647605379,97007","33,59"
E4_Temperature,"1647605380,22008","33,59"
E4_Temperature,"1647605380,47009","33,61"
E4_Temperature,"1647605380,7201","33,61"
E4_Temperature,"1647605380,97011","33,61"
E4_Temperature,"1647605381,22012","33,61"
E4_Temperature,"1647605381,47014","33,59"
E4_Temperature,"1647605381,72015","33,59"
E4_Temperature,"1647605381,97016","33,59"
E4_Temperature,"1647605382,22017","33,59"
E4_Temperature,"1647605382,47018","33,61"
E4_Temperature,"1647605382,72019","33,61"
E4_Temperature,"1647605382,97021","33,61"
E4_Temperature,"1647605383,22022","33,61"
E4_Temperature,"1647605383,47023","33,59"
E4_Temperature,"1647605383,72024","33,59"
E4_Temperature,"1647605383,97025","33,59"
E4_Temperature,"1647605384,22026","33,59"
E4_Temperature,"1647605384,47027","33,59"
E4_Temperature,"1647605384,72029","33,59"
E4_Temperature,"1647605384,9703","33,59"
E4_Temperature,"1647605385,22031","33,59"
E4_Temperature,"1647605385,47032","33,59"
E4_Temperature,"1647605385,72033","33,59"
E4_Temperature,"1647605385,97034","33,59"
E4_Temperature,"1647605386,22036","33,59"
E4_Temperature,"1647605386,47037","33,59"
E4_Temperature,"1647605386,72038","33,59"
E4_Temperature,"1647605386,97039","33,59"
E4_Temperature,"1647605387,2204","33,59"
E4_Temperature,"1647605387,47041","33,59"
E4_Temperature,"1647605387,72043","33,59"
E4_Temperature,"1647605387,97044","33,59"
E4_Temperature,"1647605388,22045","33,59"
E4_Temperature,"1647605388,47046","33,59"
E4_Temperature,"1647605388,72047","33,59"
