label_time_sec,window_start_sec,window_end_sec,n_samples,x_mean,x_std,x_min,x_max,x_median,y_mean,y_std,y_min,y_max,y_median,z_mean,z_std,z_min,z_max,z_median,time_sec,stress_label,reaction_label
190.0,160.0,190.0,960,-36.53854166666667,2.576579758449372,-48.0,-27.0,-37.0,-8.4875,2.2969921847877535,-19.0,4.0,-8.0,52.03541666666667,1.9247566191860341,41.0,62.0,52.0,190.0,Stress,No Reaction
200.0,170.0,200.0,960,-36.442708333333336,2.3643266745341687,-45.0,-28.0,-37.0,-8.148958333333333,2.155502926426328,-19.0,4.0,-8.0,52.16770833333333,1.7093251442400643,41.0,62.0,52.0,200.0,No Stress,Reaction
210.0,180.0,210.0,960,-36.135416666666664,1.8763652195830733,-45.0,-27.0,-36.0,-7.552083333333333,1.8018053260799363,-19.0,1.0,-7.5,52.447916666666664,1.4496757515036736,44.0,61.0,52.0,210.0,No Stress,No Reaction
220.0,190.0,220.0,960,-36.2,2.3001110731669265,-45.0,-25.0,-36.0,-7.3,2.15305878880975,-20.0,1.0,-7.0,52.416666666666664,1.580424215873784,45.0,62.0,52.0,220.0,No Stress,No Reaction
230.0,200.0,230.0,960,-37.03958333333333,3.4028289514948784,-67.0,-21.0,-37.0,-6.804166666666666,2.645393291294116,-20.0,6.0,-7.0,51.8625,2.1326817848455235,39.0,62.0,52.0,230.0,No Stress,No Reaction
240.0,210.0,240.0,960,-38.61666666666667,3.4059589156157926,-67.0,-21.0,-39.0,-6.290625,2.6233720559027356,-20.0,6.0,-6.0,50.890625,2.0040406588841697,39.0,62.0,51.0,240.0,No Stress,No Reaction
250.0,220.0,250.0,960,-39.65625,3.004786327829719,-67.0,-21.0,-40.0,-5.733333333333333,2.1095476224439813,-16.0,6.0,-6.0,50.28125,1.7556886536605185,39.0,57.0,50.0,250.0,No Stress,No Reaction
260.0,230.0,260.0,960,-40.95104166666667,2.9206929481772224,-50.0,-26.0,-41.0,-5.540625,1.56086645578826,-15.0,1.0,-5.0,49.317708333333336,2.024896902158875,42.0,57.0,50.0,260.0,No Stress,No Reaction
270.0,240.0,270.0,960,-42.498958333333334,3.39784618008797,-60.0,-25.0,-43.0,-5.882291666666666,1.7141072512395987,-15.0,1.0,-6.0,48.08020833333333,2.4084539925731048,34.0,56.0,48.0,270.0,No Stress,No Reaction
280.0,250.0,280.0,960,-41.571875,4.608221404176035,-61.0,-21.0,-43.0,-6.027083333333334,1.9426865698804536,-16.0,10.0,-6.0,48.670833333333334,3.1187788266374548,34.0,61.0,48.0,280.0,No Stress,No Reaction
290.0,260.0,290.0,960,-40.58645833333333,4.4088289416155435,-61.0,-21.0,-40.0,-6.166666666666667,1.9459145013173782,-16.0,10.0,-6.0,49.434375,2.9694070331058695,34.0,61.0,50.0,290.0,No Stress,No Reaction
300.0,270.0,300.0,960,-39.11354166666667,3.3711379955622394,-61.0,-21.0,-40.0,-5.794791666666667,2.05568312638236,-17.0,10.0,-6.0,50.614583333333336,2.003489092463902,43.0,61.0,50.0,300.0,No Stress,No Reaction
310.0,280.0,310.0,960,-39.088541666666664,3.7914169515985656,-60.0,-9.0,-40.0,-5.213541666666667,4.024070428520706,-17.0,59.0,-6.0,50.598958333333336,2.1503931687779168,35.0,63.0,50.0,310.0,No Stress,No Reaction
320.0,290.0,320.0,960,-36.31666666666667,4.794389027320398,-60.0,-9.0,-37.0,-5.528125,4.302827916164085,-19.0,59.0,-5.0,52.24270833333333,2.7446884828551985,35.0,63.0,52.0,320.0,No Stress,No Reaction
330.0,300.0,330.0,960,-34.49791666666667,4.056174355192579,-60.0,-9.0,-34.0,-5.642708333333333,4.303216654423109,-19.0,59.0,-6.0,53.39375,2.3077062945754037,35.0,63.0,54.0,330.0,Stress,Reaction
340.0,310.0,340.0,960,-34.567708333333336,5.403586550649301,-75.0,-6.0,-34.0,-5.623958333333333,3.0297876320359642,-19.0,19.0,-6.0,53.24166666666667,3.226573277172687,35.0,71.0,54.0,340.0,No Stress,No Reaction
350.0,320.0,350.0,960,-33.32604166666667,13.34865534574366,-75.0,19.0,-36.0,-2.7333333333333334,7.13870717122285,-19.0,24.0,-5.0,52.389583333333334,5.236263207761082,28.0,77.0,53.0,350.0,No Stress,Reaction
360.0,330.0,360.0,960,-31.477083333333333,15.438988058699866,-75.0,20.0,-36.0,-1.325,7.769797948907067,-21.0,28.0,-4.0,52.86875,6.079029622154193,28.0,81.0,53.0,360.0,No Stress,Reaction
370.0,340.0,370.0,960,-30.094791666666666,14.551851627030596,-57.0,20.0,-34.0,-0.14583333333333334,7.1773005150509555,-21.0,28.0,-2.0,53.848958333333336,5.531321277639598,28.0,81.0,54.0,370.0,No Stress,No Reaction
380.0,350.0,380.0,960,-30.516666666666666,9.339932619016691,-57.0,20.0,-33.5,-0.9395833333333333,4.25129506531364,-21.0,28.0,-1.0,55.09791666666667,3.7526210281829595,30.0,81.0,54.0,380.0,No Stress,No Reaction
390.0,360.0,390.0,960,-32.75729166666667,6.355020591122466,-56.0,-8.0,-34.0,-0.7958333333333333,2.2348979521328682,-11.0,13.0,-1.0,54.360416666666666,3.0003989712689534,41.0,69.0,54.0,390.0,No Stress,No Reaction
400.0,370.0,400.0,960,-33.18125,6.194321333957512,-56.0,-8.0,-34.0,-0.9010416666666666,2.2066349277136372,-11.0,13.0,-1.0,54.170833333333334,2.9500505171145766,41.0,69.0,54.0,400.0,No Stress,No Reaction
410.0,380.0,410.0,960,-35.25208333333333,3.9500261787299675,-56.0,-18.0,-36.0,-1.3979166666666667,1.8352349760858229,-6.0,13.0,-2.0,53.2125,2.0884133406831307,41.0,61.0,53.0,410.0,No Stress,No Reaction
420.0,390.0,420.0,960,-36.29270833333333,3.036577322168353,-48.0,-23.0,-36.0,-1.4770833333333333,1.3343523434883375,-6.0,4.0,-2.0,52.661458333333336,1.8321010686330814,46.0,60.0,53.0,420.0,No Stress,No Reaction
430.0,400.0,430.0,960,-35.64270833333333,3.5787649925762075,-48.0,-23.0,-36.0,-2.1729166666666666,1.575124615072282,-6.0,4.0,-2.0,52.9875,2.028948473529515,46.0,59.0,53.0,430.0,No Stress,No Reaction
440.0,410.0,440.0,960,-35.646875,3.4292021138514683,-45.0,-23.0,-36.0,-3.225,1.8384719592483993,-7.0,2.0,-4.0,52.93020833333333,1.9235449000792224,46.0,59.0,53.0,440.0,No Stress,No Reaction
450.0,420.0,450.0,912,-35.36842105263158,3.1112223000176478,-43.0,-24.0,-36.0,-4.503289473684211,1.085777797959189,-7.0,1.0,-5.0,53.10526315789474,1.7074431031312323,49.0,58.0,53.0,450.0,No Stress,No Reaction
